Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
United Arab Emirates,ARE,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,80296,83985,92668,101906,113648,121626,132709,143060,156613,159553,191794,..,..,..
United Arab Emirates,ARE,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,18037,18955,21028,21745,27525,..,..,..
United Arab Emirates,ARE,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,0,24,50,94,196,358,466,653,842,1034,1478,..,..,..
United Kingdom,GBR,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,1526720,1532677,1523902,1563490,1597284,1620993,..,..
United Kingdom,GBR,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,2024138,2067349,2240680,2287833,2247441,2287541,2336111,2362815,2329494,2415222,2479197,2492284,2495779,2386199,2352932.78179,2330334.47948,2387280.16667,2431886.37666,2467086.41216,..,..
United Kingdom,GBR,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,423592,423518,421145,415689,434851,450591,..,..
United Kingdom,GBR,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,74242,75334,85073,85061,89378,91607,94180,99416,80906,81693,85179,90028,94949,109058,111395,112800,113003,112289,111257,..,..
United States,USA,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9463755,9339916.1766,9152629.82966,9127359.17778,9057685.06365,..,..
United States,USA,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19700221,19531727.01137,19288423.51018,19014530.0944,18941967.42457,..,..
United States,USA,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2509358,2520013.22636,2541947.60929,2620946.62312,2651278.84228,..,..
United States,USA,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,391915,394963.77364,398814.39071,351076.37688,354198.15772,..,..
Upper middle income,UMC,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,52389664.4066,55296545.60927,60806710.50821,63312617.1627,65553266.47901,66271649.53307,66616640.14528,67570603.34633,..
Upper middle income,UMC,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,35756475.36544,39915779.41328,44957106.6215,50516460.3838,54956965.36322,59474909.8738,64345726.53451,68744428.73559,73100268.78214,77016814.99917,80588734.8155,82404701.02726,85452199.03448,87996003.824,97021494.38665,99790493.41153,101962083.5517,103011139.85728,104011685.39381,106028236.02616,..
Upper middle income,UMC,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,8870001.965,8770770.91807,8009482.92449,7337832.40915,7249226.30983,7269897.86452,7350568.9729,7436675.06756,..
Upper middle income,UMC,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,422331.68027,454264.21509,505141.29043,558088.03509,616118.39522,646684.11625,664808.29259,654907.11364,691876.7671,736208.60234,804486.09107,822226.056,847641.06639,905568.2575,931511.64567,995131.4252,1059425.98706,1102481.61334,1142112.15925,1177111.32005,..
Uruguay,URY,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uruguay,URY,"Enrolment in tertiary education, all programmes, both sexes (number)",SE.TER.ENRL,90024,98199,100636,104369,106326,110684,113403,126325,128478,129058,132398,134977,141942,157685,159772,156342,162427,162463,..,..,..
